clip_id,file,exercise,view,label,error_type,subject_id,fps,num_frames,notes
squat_0001,squat/clip_0001.npy,squat,threequarter,good,none,subject_01,30,52,synthetic
squat_0002,squat/clip_0002.npy,squat,threequarter,bad,knee_valgus,subject_02,30,31,synthetic
squat_0003,squat/clip_0003.npy,squat,threequarter,bad,knee_valgus,subject_03,30,52,synthetic
squat_0004,squat/clip_0004.npy,squat,threequarter,good,none,subject_04,30,26,synthetic
squat_0005,squat/clip_0005.npy,squat,threequarter,bad,back_rounding,subject_05,30,60,synthetic
squat_0006,squat/clip_0006.npy,squat,threequarter,bad,knee_valgus,subject_06,30,39,synthetic
squat_0007,squat/clip_0007.npy,squat,threequarter,bad,insufficient_depth,subject_07,30,60,synthetic
squat_0008,squat/clip_0008.npy,squat,threequarter,good,none,subject_08,30,52,synthetic
squat_0009,squat/clip_0009.npy,squat,threequarter,bad,back_rounding,subject_01,30,58,synthetic
squat_0010,squat/clip_0010.npy,squat,threequarter,good,none,subject_02,30,32,synthetic
squat_0011,squat/clip_0011.npy,squat,threequarter,good,none,subject_03,30,29,synthetic
squat_0012,squat/clip_0012.npy,squat,threequarter,bad,back_rounding,subject_04,30,43,synthetic
squat_0013,squat/clip_0013.npy,squat,threequarter,bad,back_rounding,subject_05,30,30,synthetic
squat_0014,squat/clip_0014.npy,squat,threequarter,good,none,subject_06,30,54,synthetic
squat_0015,squat/clip_0015.npy,squat,threequarter,bad,knee_valgus,subject_07,30,53,synthetic
squat_0016,squat/clip_0016.npy,squat,threequarter,bad,insufficient_depth,subject_08,30,20,synthetic
squat_0017,squat/clip_0017.npy,squat,threequarter,good,none,subject_01,30,58,synthetic
squat_0018,squat/clip_0018.npy,squat,threequarter,good,none,subject_02,30,40,synthetic
squat_0019,squat/clip_0019.npy,squat,threequarter,good,none,subject_03,30,51,synthetic
squat_0020,squat/clip_0020.npy,squat,threequarter,bad,insufficient_depth,subject_04,30,21,synthetic
squat_0021,squat/clip_0021.npy,squat,threequarter,good,none,subject_05,30,27,synthetic
squat_0022,squat/clip_0022.npy,squat,threequarter,good,none,subject_06,30,43,synthetic
squat_0023,squat/clip_0023.npy,squat,threequarter,bad,insufficient_depth,subject_07,30,39,synthetic
squat_0024,squat/clip_0024.npy,squat,threequarter,bad,knee_valgus,subject_08,30,35,synthetic
squat_0025,squat/clip_0025.npy,squat,threequarter,good,none,subject_01,30,23,synthetic
squat_0026,squat/clip_0026.npy,squat,threequarter,good,none,subject_02,30,35,synthetic
squat_0027,squat/clip_0027.npy,squat,threequarter,good,none,subject_03,30,56,synthetic
squat_0028,squat/clip_0028.npy,squat,threequarter,bad,insufficient_depth,subject_04,30,25,synthetic
squat_0029,squat/clip_0029.npy,squat,threequarter,good,none,subject_05,30,25,synthetic
squat_0030,squat/clip_0030.npy,squat,threequarter,bad,back_rounding,subject_06,30,51,synthetic
squat_0031,squat/clip_0031.npy,squat,threequarter,bad,back_rounding,subject_07,30,24,synthetic
squat_0032,squat/clip_0032.npy,squat,threequarter,bad,back_rounding,subject_08,30,54,synthetic
squat_0033,squat/clip_0033.npy,squat,threequarter,bad,insufficient_depth,subject_01,30,28,synthetic
squat_0034,squat/clip_0034.npy,squat,threequarter,good,none,subject_02,30,28,synthetic
squat_0035,squat/clip_0035.npy,squat,threequarter,bad,knee_valgus,subject_03,30,50,synthetic
squat_0036,squat/clip_0036.npy,squat,threequarter,good,none,subject_04,30,55,synthetic
squat_0037,squat/clip_0037.npy,squat,threequarter,good,none,subject_05,30,30,synthetic
squat_0038,squat/clip_0038.npy,squat,threequarter,good,none,subject_06,30,36,synthetic
squat_0039,squat/clip_0039.npy,squat,threequarter,good,none,subject_07,30,53,synthetic
squat_0040,squat/clip_0040.npy,squat,threequarter,bad,insufficient_depth,subject_08,30,58,synthetic
squat_0041,squat/clip_0041.npy,squat,threequarter,good,none,subject_01,30,47,synthetic
squat_0042,squat/clip_0042.npy,squat,threequarter,good,none,subject_02,30,33,synthetic
squat_0043,squat/clip_0043.npy,squat,threequarter,good,none,subject_03,30,54,synthetic
squat_0044,squat/clip_0044.npy,squat,threequarter,bad,knee_valgus,subject_04,30,32,synthetic
squat_0045,squat/clip_0045.npy,squat,threequarter,good,none,subject_05,30,39,synthetic
squat_0046,squat/clip_0046.npy,squat,threequarter,good,none,subject_06,30,45,synthetic
squat_0047,squat/clip_0047.npy,squat,threequarter,bad,knee_valgus,subject_07,30,43,synthetic
squat_0048,squat/clip_0048.npy,squat,threequarter,bad,back_rounding,subject_08,30,48,synthetic
squat_0049,squat/clip_0049.npy,squat,threequarter,good,none,subject_01,30,53,synthetic
squat_0050,squat/clip_0050.npy,squat,threequarter,good,none,subject_02,30,48,synthetic
